,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
14037," Senior Manager , Manager - F&A (chartered Accountant)"," chartered accountant, cash flow management, statutory compliances, accounting, financial planning, cost accounting, finance, dgft, budgeting, indirect taxation",Noida,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Oil and Gas, Energy, Power, Infrastructure",10 - 15,10 - 25
14135,Lead Software Engineer,"lead software developer,postgresql,scala,supply chain consultant,Lead Software Engineer lead software engineer,mongodb,ecommerce development,javascript",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,Internet , Ecommerce",10 - 15,10 - 25
14338, Hiring for Branch Head for Leading Education Industry," sales, product marketing, b2b, branch operations, heading branch, new business, product portfolio, business generation, mis preparation, education industry","Mumbai,Bengaluru","Retail Sales,Sales , Retail , Business Development,Education, Teaching, Training",10 - 15,10 - 25
14414, Trade Marketing Manager," Trade Marketing, Marketing Management, Mba, Marketing Manager",Mumbai,"Marketing,Marketing , Advertising , MR , PR , Media Planning,FMCG, Foods, Beverage",10 - 15,10 - 25
14941,Chief Architect,"IP Networking,ITIL,TCP,TOGAF,Transition,Infrastructure Management,Infrastructure Services,Project Management,Microsoft Technologies,Service Management",Bengaluru,"Unisys is a worldwide information technology company. We provide a portfolio of IT services, software, and technology that solves critical problems for clients. We specialize in helping clients secure their operations, increase the efficiency and utilization of their data centers, enhance support to their end users and constituents, and modernize their enterprise applications. To provide these services and solutions, we bring together offerings and capabilities in outsourcing services, systems integration and consulting services, infrastructure services, maintenance services, and high-end server technology. Unisys India was established in 2004 in Bangalore. We have strengthened tremendously in terms of headcount and infrastructure, as well as capabilities to become an integral part of the Unisys global delivery organization. Today, we have three state-of-the-art facilities - two in Bangalore and one in Hyderabad. At Unisys India you will see a representation from most functions of Unisys. Be it product development for Systems & Technology, application design and migration for Global Industries, service desk , enterprise computing , ITIL processes , field operations back office for GOIS or extensions of various Unisys corporate functions. We are here today because of our relentless efforts towards timely, quality and cost efficient deliveries, all meant to drive a high level of customer satisfaction at a compelling cost. A unique blend of mature processes, high focus on tools and, above all a team of highly talented and motivated employees play a critical role in making this possible. We are poised to play an increasingly important role in Unisys journey towards predictable and profitable growth. You could be a part of this change. Imagine It. Done. For more information, visit http:,,www.unisys.com,Other,IT-Software , Software Services",10 - 15,10 - 25
14964," Job Opening in Leading Bank For AVP, VP- Card Governance_mumbai"," Banking, Avp, VP, Stakeholder Management",Gurgaon,"Card Products,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",10 - 15,10 - 25
14991," GM- Business Development For Industrial, Corporate Catering in Mumbai"," Hospitality, Client Acquisition, Business Development, Catering, food service",Mumbai,"Institutional Sales,Sales , Retail , Business Development,Facility Management",10 - 15,10 - 25
15202, Head- Downstream Process Development (r&d)," DSP, process development, downstream processing, Protein Purification",Bengaluru,"R&D,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Pharma, Biotech, Clinical Research",10 - 15,10 - 25
15664, ITIL Certified - Lead Production Support, Production Support,Bengaluru,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
15858, Contracts Manager," contracts, claims, arbitration, ipa, ipc, fidic, risk, mitigation","Adilabad,Khammam,Ahmedabad","Senior Management,Purchase , Logistics , Supply Chain,Oil and Gas, Energy, Power, Infrastructure",10 - 15,10 - 25
15975, Delivery Manager - IT Applications (PMO)," Engagement Management, IT Applications development, Applications Support, Internet Technologies, Project Management, Delivery Manager, Project Delivery",Mumbai,"Senior Management,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
16051, Transactional Quality Manager," Transactional Quality, Team Handling, Communication Skills, Quality Management, Quality Manager","Mumbai,Gurgaon,Bengaluru","Quality,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
16264," City Head Sales , Area Head Sales , General Manager Sales"," Sales Management, Marketing, Revenue Generation, Lead Generation, Real Estate, Strategy, Business Operations, General Management, People Management",Bengaluru,"Senior Management,Sales , Retail , Business Development,Real Estate, Property",10 - 15,10 - 25
16429, Job Opening For Technical Project Manager," CSS, jQuery, Web Application, Javascript, ASP.Net, .Net, HTML, MVC, SQL Server, ASP.Net MVC",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
16443," Urgent Opening for Production Manager in Ciron Drugs, Boisar"," parenteral, sterile, Production Manager, Injectables, svp",Mumbai,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Pharma, Biotech, Clinical Research",10 - 15,10 - 25
16491," Senior Service Manager, 8 to 14 Yrs, Gurgaon"," operations, service strategy, service delivery, customer relationship, people management, service management, customer satisfaction, product service, resource planning, Continuous Improvement, Root Cause Analysis, Service Operations, Operations Management",Delhi NCR,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
16509, Imperia Relationship Manager-western line & South Mumbai," relationship manager, business banking, relationship management, investment banking, ultra hni, hni client handling, mutual funds, cross selling, life insurance","Mumbai,MumbaiSuburbs","Investment Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",10 - 15,10 - 25
16544, Network Architect," Networking, QOS, Routing, L3VPN, Bgp, CCNP, Switching, MPLS, Cisco Nexus, OSPF",Chennai,"Programming & Design,IT Software - Network Administration , Security,IT-Software, Software Services",10 - 15,10 - 25
16601, Senior Business Development Manager," Business Development Management, Infrastructure Advisory, Bidding, bid management",Gurgaon,"Retail Sales,Sales , Retail , Business Development,Oil and Gas, Energy, Power, Infrastructure",10 - 15,10 - 25
16709," HOD - F&A , Sr. Manager (CA)"," Finance, Auditing, Taxation, Tax Audit, Financial Reporting, Cfo, Chief Financial Officer",Ahmedabad,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Retail, Wholesale",10 - 15,10 - 25
16808, Principal Data Scientist," Time Series, Arima, Forecasting, Time Series Analysis, Python",Bengaluru,"Analytics & BI,Analytics & Business Intelligence,Shipping, Marine",10 - 15,10 - 25
16848, Mobile Application Technical Architect ( Exp. on ios & Android Both)," Technical Architect, solution architect, ios, iphone, Technical Architecture, Lead Technical Architect, Mobile Application Development, Android",Ahmedabad,"Programming & Design,IT Software - Mobile,IT-Software, Software Services",10 - 15,10 - 25
17195, Procure To Pay For BPO P2P Manager, P2P,Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
17289," Accounts & Finance Manager,"," agrochemicals, finance, accounting, SAP","Mumbai,Pune","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Fertilizers, Pesticides",10 - 15,10 - 25
17327," Head of Sales - ( Compounds , Masterbatches ) - CPI - NR"," sales, strategy, business planning, new projects",Delhi,"Senior Management,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",10 - 15,10 - 25
17369,SAP FICO Consultant,SAP FICO,Hyderabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software , Software Services",10 - 15,10 - 25
17510, Tech Lead - .NET," ASP.Net MVC, C#, WCF, Winforms, WPF, ADO.Net, LINQ, WF, VB.NET, Javascript","Kochi,Trivandrum,Bengaluru","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
17531, Change Manager," Change Management, IT Infrastructure",Bengaluru,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
17547,Cyberark Architect (8+ Years Only),"identity management,iam,cyberark,vault,Privileged Access Management,privileged identity management,privileged identity minder,SAS,PAM,PIM,Enterprise Vault,PAS","Noida,Delhi NCR","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software , Software Services",10 - 15,10 - 25
17783, Immediate Opening for Java Lead," Java, C, Project Leading, JSP, servlets, struts","Pune,Mumbai","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
17817, General Manager Administration," Administration Management, Payroll, Accounting, General Management",Gurgaon,"Administration,Facility Management,HR , Recruitment , Administration , IR,Real Estate, Property",10 - 15,10 - 25
17919, Head - HR For Noida -service Based Technology Company," hr strategy, IT Recruitment, startup, top management, manager hr, technology, director hr",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",10 - 15,10 - 25
17921," Manager, Sr. Manager- Finance- Pune"," budget preparation, financial management, financial reporting, Manager Finance, Financial Analyst",Pune,"Finance,Audit,Accounts , Finance , Tax , Company Secretary , Audit,Automobile, Auto Anciliary, Auto Components",10 - 15,10 - 25
17984, VP - Sales & Marketing - Indutrial Sales (gurugram)," Sales, VP, Marketing",Gurgaon,"Senior Management,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",10 - 15,10 - 25
18061, Urgent Position - Quality Lead - Voice Domain - Captive Unit, Captive Unit,Gurgaon,"Quality,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
18114, Oracle Application Database Lead," Unix, Oracle, Linux, Performance Tuning, Patching, Cloning, Team Handling, Oracle Apps Dba",Noida,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
18298, Sales Principal," business development, sales strategy, new client acquisition, client management, market assessment, Sales",Mumbai,"Retail Sales,Sales , Retail , Business Development,KPO, Research, Analytics",10 - 15,10 - 25
18326," Java,j2ee- - Architect"," Java, J2Ee, JDBC, Multithreading, Data Structures, OOPS",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
18499, IT Project Manager - Technology Development," IT Project Management, Project Scheduling, PMO, Project Execution, Technology Solutions, SCOPE, Transition, Scrum, Agile, Metrics, Project Manager, Information Technology, Computer Science, Web Development, Database",Hyderabad,"Project Management,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
18544, Regional Manager - International Business," regional manager, international sales, international business development, regional sales manager, International Business",Noida,"Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",10 - 15,10 - 25
18777, Head - Business Development (Pan India hvac Projects - Bangalore)," HVAC, Project Management, Business Development",Bengaluru,"Senior Management,Sales , Retail , Business Development,Facility Management",10 - 15,10 - 25
18848," Job Opening For Vp,dvp_technology Procurement Executive_mumbai"," Procurement, New Vendor Development, Negotiation, Service Quality, Capex, Cost Saving",Mumbai,"Senior Management,IT Software - Other,Banking, Financial Services, Broking",10 - 15,10 - 25
18943," Sr. Mgr , GM Finance & Accounts"," NBFC, Finance, Financial Accounting, General Management, Taxation, MIS Reporting, Financial Management",Chennai,"Senior Management,Accounts , Finance , Tax , Company Secretary , Audit,Banking, Financial Services, Broking",10 - 15,10 - 25
18956,Accounts & Finance Manager,"payroll,taxation,erp,reconciliation,gst SAP,oracle erp",Hyderabad,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Other",10 - 15,10 - 25
19160, SAP SRM Lead : Delhi : Reply Asap," rfc, badi, bapi, ale, ricef, sourcing, sap srm, User Exit, ALE, IDOC",Delhi,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
19329," Business Analyst,change Manager - Investment Banking - Mumbai"," Change Manager, Business Analyst, Project Manager, Investment Banking Operations, Business Analysis",Mumbai,"Investment Banking,Financial Services , Banking , Investments , Insurance,KPO, Research, Analytics",10 - 15,10 - 25
19358, Looking For Embedded Developer_ Chennai_mnc," Java, C, Python Developer, micro controllers, DSpace, Canalyzer, LIN, AUTOSAR, Canape, Canoe, Embedded Systems, Embedded Software Development, Python",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
19484, Associate Vice President," Business Development, Credit Rating, Customer Relationship, Marketing Management, Relationship Management, Corporate Sales, Corporate Banking, Corporate Finance, syndication, debt syndication, private equity, m&a",Hyderabad,"Corporate Sales,Sales , Retail , Business Development,Accounting, Finance",10 - 15,10 - 25
19488, AGM - Store," Store Management, warehouse management, inventory management, material management",Ghaziabad,"Purchase,Material Management,Purchase , Logistics , Supply Chain,Iron and Steel",10 - 15,10 - 25
19672, Urgent job Position for Senior Sales Manager- Mumbai," Real Estate, Sales Management","Mumbai,Bengaluru,Delhi NCR","Retail Sales,Sales , Retail , Business Development,Real Estate, Property",10 - 15,10 - 25
19701," AVP , VP - Head - Preferred Relationship Management - Wealth"," client relationship management, hni client handling, portfolio management, wealth management, structured products, mutual funds sales, pms","Mumbai,Pune,Ahmedabad,MumbaiSuburbs,NaviMumbai","Retail,Personal Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",10 - 15,10 - 25
19837, Opportuntiy For Internal Audit - Noida Location," Internal Audit, Auditing",Noida,"Finance,Audit,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",10 - 15,10 - 25
20137," Business Analyst,project Manager,.net,asp.net,c#,mvc"," project management, microsoft technologies, project lead, asp.net, Project Manager, .net, business analysis, Technical Lead, tech lead, MVC",NaviMumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
20188, Assistant General Manager Finance & Accounts," Statutory Audit, Finance Function, Accounting, General Management, Working Capital, Financial Management, Fund Flow",Kolkata,"Senior Management,Accounts , Finance , Tax , Company Secretary , Audit,Consumer Electronics, Appliances, Durables",10 - 15,10 - 25
20243,Asst. Manager Custom( EXIM Documentation)- FMCG & Foods Co.- Delhi NCR,"Import,Shipment,EXIM,Export,Custom Clearance,Import Export Documentation,Export Documentation,Import Documentation,International Trade,Advance License,Imports & Exports,International Logistics,Pre , Post shipment Documentation",Delhi NCR,"Documentation,Shipping,Export , Import , Merchandising,FMCG , Foods , Beverage",10 - 15,10 - 25
21112," EHS Am,manager"," ehs, safety, she, OHSAS","Pune,NaviMumbai,Raigad","Safety,Health,Environment,Production , Manufacturing , Maintenance,Pharma, Biotech, Clinical Research",10 - 15,10 - 25
21145, Product head Sales - Air Filters ( CPI - NR )," Sales, Selling, PHARMA INDUSTRY","Mumbai,Pune","Channel Sales,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",10 - 15,10 - 25
21152, JOB Opening For AVP Ab Initio Administrator @ Hyderabad," hive, cluster, NoSQL, Ab Initio, hdfs, hadoop, big data",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
21189, Branch Manager," sales, Salesforce, time share, Branch Manager",Mumbai,"Retail Sales,Sales , Retail , Business Development,Travel , Hotels , Restaurants , Airlines , Railways",10 - 15,10 - 25
21212, HR Recruitment_trainer_only on Sunday_hr Institute," Recruitment, HR, Training, Presentation, Part Time, trainer",NaviMumbai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Education, Teaching, Training",10 - 15,10 - 25
21347, Senior Manager Compliance-internal Audit," nbfc, compliance, auditing",Delhi,"Operations,Processes,Finance,Legal,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",10 - 15,10 - 25
21468," UI, JavaScript Developer , Architect, Angular 2 &amp; 4, Product, 8+ yrs"," front end, web application, Html5, JSON, User Interface Designing, Web Designing, Responsive Web Design, JQuery Mobile, Javascript, Bootstrap, software developer, angularjs, Cordova, Ajax","Bengaluru,Chennai,Hyderabad,Pune,Gurgaon,Noida","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
21767," Senior Manager IT,"," IT Asset Management, IT Helpdesk, Networking, Software Licensing, IT Support, MIS Reporting, IT Infrastructure, IT Projects, IT Services, IT Security",Mumbai,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,Education, Teaching, Training",10 - 15,10 - 25
21856," Sales & Marketing Development Manager , Leading Pulp Mfg.co , Delhi"," Ideation, Content Creation, Consumer Behaviour, Social Media, Google Adwords, Marketing Campaigns, Performance reporting, Lead Generation, Publicity, Marketing Budget, Event Management, Advertising, Collaterals, Communication","Gurgaon,Delhi,Noida","Marketing,Marketing , Advertising , MR , PR , Media Planning,Pulp and Paper",10 - 15,10 - 25
22024, HR Employee Relation & Labour Laws_trainer_only on Sunday_hr Institute," presentation, employee relations, ir, hr, training, part time, industrial relations",NaviMumbai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Education, Teaching, Training",10 - 15,10 - 25
22117, Opening of Head of Marketing for Herbal Extraction (curcumin)," Marketing, business development, Marketing Manager, sales manager, Brand Manager, Business Development Manager",Mumbai,"Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",10 - 15,10 - 25
22208, Urgent Opening for Head- Sales & Marketing (gurgaon)," Sales, Marketing, Selling, Retention, Customer Service, Planning, Management Skills, Time Management",Gurgaon,"Senior Management,Sales , Retail , Business Development,Real Estate, Property",10 - 15,10 - 25
22262, Senior Engineer - Continuous Integration - Navi ," Unix, VMware, C++, Linux, XML, Shell scripting, Agile, Perl, Windows, Python","Mumbai,NaviMumbai","Programming & Design,IT Software - Application Programming , Maintenance,Recruitment, Staffing",10 - 15,10 - 25
22286," Project Manager,program Manager,group Project Manager in Bangalore"," Project Management, Program Management, Project Manager, IT Project Management, PMP, PMO, IOS, Android, Java, PHP, .Net, React.Js, Javascript, Angularjs",Bengaluru,"Senior Management,IT Software - Client,Server Programming,IT-Software, Software Services",10 - 15,10 - 25
22348, Head of HR & Admin," Training, Business Strategy, HR Administration, business planning, Recruitment",Hyderabad,"Senior Management,HR , Recruitment , Administration , IR,Real Estate, Property",10 - 15,10 - 25
22426, Senior Manager- Visual Merchandising (For New Stores)," Visual Merchandising, Senior Management",Kolkata,"Creative,Marketing , Advertising , MR , PR , Media Planning,Retail, Wholesale",10 - 15,10 - 25
22601, Urgently Required Store Manager," retail sales, marketing strategy, customer service management, mall management, store management, inventory management, customer relationship, sales achievement, sales planning, sales promotion","Kolkata,Bhubaneshwar,Guwahati,Nagpur,Patna","Retail Sales,Sales , Retail , Business Development,Retail, Wholesale",10 - 15,10 - 25
22910, SAP IT Senior Manager (bengaluru)," MM, PP, SAP, PS, SAP HR, SAP FICO Implementation, Senior Management",Bengaluru,"System Design,Implementation,ERP,CRM,IT Software - ERP , CRM,Textiles, Garments, Accessories",10 - 15,10 - 25
22925, Opening For Technical Project Manager (Can Be Available F2F Saturday)," MVC Architecture, C#, CSS, ASP.Net Ajax, Javascript, HTML, SQL Server, Visual Studio, JQuery, ASP.Net MVC",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
23012, Hiring Assistant Manager Warehouse Operations For Malur ," supply chain operations, Warehouse, supply chain, logistics operations, logistics, Warehouse Operations",Bengaluru,"Logistics,Purchase , Logistics , Supply Chain,Internet, Ecommerce",10 - 15,10 - 25
23239, Full Stack Developer," java, core java, Node.Js, React.Js",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
23321, Vmware Administrator," SAN, Hitachi Storage, Cisco Ucs, VMotion, DRS, VCenter, VSphere, Update Manager, HA, ESXI",Chennai,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
23430," Opening for Java,j2ee - Architect"," Java, J2Ee, Design Patterns, JDBC, Multithreading, OOPS, Data Structures, .Net, Python, C#, Architect",Bengaluru,"Programming & Design,IT Software - Other,IT-Software, Software Services",10 - 15,10 - 25
23730,Cluster Managar POS Vertical,"recruitment,people management,relationship management,team handling,general insurance,sales,Communication Skills,Strategy,business planning", Pune,"Retail Sales,Sales , Retail , Business Development,Insurance",10 - 15,10 - 25
23877, Deputy General Manager - HR (healthcare)," Recruitment, HR, Benefits, Employee Relations, Succession Planning, Talent Acquisition, Employee Referral, Welfare, Labor Relations, Statutory Laws",Kolkata,"Senior Management,HR , Recruitment , Administration , IR,Medical, Healthcare, Hospitals",10 - 15,10 - 25
24173, Informatica Etl Developer," ETL, Informatica",Bengaluru,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Other",10 - 15,10 - 25
24407, Warehouse Manager," Outbound, Material Management, Receiving, Inventory Management, Transportation, Stock Control, Warehouse Management, Supply Chain, Logistics, Warehouse Operations",Kolkata,"Logistics,Purchase , Logistics , Supply Chain,Retail, Wholesale",10 - 15,10 - 25
24411," Project Manager SAP B1,business One (project Management)"," SAP B1, SAP Business One, Project Management, SAP, Gap Analysis, Costing, Budgeting, forecasting, Techno, Commercial, Functional Consultant, technical consultant, Project Manager, project lead","Delhi NCR,Mumbai,Bengaluru,Hyderabad,Pune","Project Management,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
24515, General Manager Purchase-Pharma-Mumbai," Procurement, New Vendor Development, Strategic Sourcing, Vendor Management, Vendor Assessment, Purchase, Cost Reduction, Negotiation, Project Management, Supply Chain",Mumbai,"Senior Management,Supply Chain , Logistics , Purchase , Materials,Pharma, Biotech, Clinical Research",10 - 15,10 - 25
24615," Job , Excellent Opening for &quot;product , Program Manager with TECH Mahin"," program delivery, program management, product development, distribution system, software product management, agile, user stories, user experience",Pune,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
24677," BDM - Project (air,sea Freight Forwarding Industry Only) at Bangalore"," project sales, business development, bdm",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Courier, Transportation, Freight , Warehousing",10 - 15,10 - 25
25063," Zonal Business Head,"," insurance, angel broking, nism, channel manager, broker, cross selling, zonal business manager, equity, securities, demat, zonal sales manager, zonal head, branch manager, cluster manager, mutual funds, Area Sales Manager","Mumbai,Pune,Nagpur","Senior Management,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",10 - 15,10 - 25
25179," Looking For Area Sales Manager For Luxury Fashion Brand ,, Delhi "," marketing, revenue enhancement, area sales management, promotional strategies, area sales manager, distribution network, Area Sales Officer, performance improvement",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,Retail, Wholesale",10 - 15,10 - 25
25598, .NET Technical Architect," mvc, asp.net, wcf, azure, .net framework, nosql, mongodb, mysql, ms sql, postgres",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
25863, Regional Product Manager - Wealth & HNI Segment - Life Insurance Comp.," Sales Strategy, Banca, Bancassurance Sales, Life Insurance, Banking, Team Training, Strategic Planning","Ahmedabad,MumbaiSuburbs,Pune","Channel Sales,Sales , Retail , Business Development,Insurance",10 - 15,10 - 25
25975, Operations Manager- Domestic Banking Collections," Operations Management, Dialer Management, Banking Process, Operations Manager, ops manager, Banking Collection, Manager Operation",Mumbai,"Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
26018, Hadoop Trainer, hadoop,Ghaziabad,"Other,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
26211, Talend Studio Developer," Java, Database Administration, SQL Database, PLSQL, Oracle, Talend, PL, ETL, Performance Tuning",Pune,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
26221, Software Architect - Video Analytics," Algorithm Development, C, Cortex, Machine Learning, Wireframing, Linux, Image Processing, Embedded Systems, ARM, Python",Bengaluru,"Programming & Design,IT Software - Embedded , EDA , VLSI , ASIC , Chip Design,IT-Software, Software Services",10 - 15,10 - 25
26327," Business Development Manager,manager Sales"," cloud, solution selling, amc, services selling, business development, key accounts manager, fms, IMS","Mumbai,Gurgaon","Retail Sales,Sales , Retail , Business Development,IT-Hardware & Networking",10 - 15,10 - 25
26462," Sales Manager Electronic Security Systems, IT Hardware"," sales manager, Business Development Manager","Delhi NCR,Mumbai,Chennai","Corporate Sales,Sales , Retail , Business Development,IT-Hardware & Networking",10 - 15,10 - 25
26634," Job Opening For SAP PM (8+ yrs exp) @ Istarbs Client, Chennai", SAP Project Manager,Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
26678, AWS & Azure Trainer on Part Time Basis," software development, part time, devops, cloud, amazon ec2, aws, Azure",Delhi NCR,"Other,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
26817,SAP PM + Japanese Language (N3 Level and Above).,"SAP PM,N3,Japanese", Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software , Software Services",10 - 15,10 - 25
27008," Senior Manager Transition, Migration for International BPO."," project management, ms project, process transition, pmi, process migration, pmp, pmo, prince2, ms visio, transition management",Mumbai,"Operations,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",10 - 15,10 - 25
27326, HR Manager For Leading Retail Chain Store," people skills, talent acquisition, recruitment, recruitment management, hr, human resource management, sourcing","Mumbai,MumbaiSuburbs,NaviMumbai","HR, Recruitment , IR,HR , Recruitment , Administration , IR,Retail, Wholesale",10 - 15,10 - 25
27396," SAP Abap, Bopf, FPM and Transport Management"," SAP ABAP, Transport Management",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
27421, Opening for a Product Manager," Product Management, ERP, Enterprise resource planning, CRM",Pune,"Programming & Design,IT Software - ERP , CRM,Other",10 - 15,10 - 25
27462, Civil Engineers for Real Estate Trainer - CPI - NR," Real Estate, Civil Engineering, Communication Skills, Trainer, Teacher",Mumbai,"Teachers,Teaching , Education , Training , Counselling,Real Estate, Property",10 - 15,10 - 25
27737, Hiring for Cluster Manager with Ample Technologies - Bangalore," Sales Strategy, Marketing, Store Planning, Retail Store Operations, Store Handling, Team Handling, Retail Merchandising, Cluster Manager",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Retail, Wholesale",10 - 15,10 - 25
27738, Head Of System Engineer," Technology Management, System Engineering, design, testing, Development",Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
27865, Opening for Lead Data Engineer in US Based MNC for Gurgaon Location," SQL Server, MSBI, Azure, Team Management",Gurgaon,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
27977, GIS Analyst cum GIS Developer (javascrip & Python)," GIS, ESRI, Data Management, Javascript, API, JQuery, Python",Hyderabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
28325," Manager Operational Excellence,"," lean six sigma, operations management, process excellence, operational excellence, continuous improvement, operations improvement, black belt, six sigma, green belt",Mumbai,"Senior Management,Accounts , Finance , Tax , Company Secretary , Audit,Banking, Financial Services, Broking",10 - 15,10 - 25
28456, Deputy Project Manager," electrical engineering, project management, heat ventilation air conditioning, metro, metro rail","Mumbai,MumbaiSuburbs,NaviMumbai,Pune","Project Management,Site Engineering , Project Management,Heat Ventilation, Air Conditioning",10 - 15,10 - 25
28475, Senior IT Administrator," directory services, system administration, active directory, windows, vmware, security systems, security compliance",Bengaluru,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
28773, Windows Security Administrator, Windows,Chennai,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",10 - 15,10 - 25
28886, Head of Digital Marketing I Ag Agency I Goregaon(e) I 8-12 yrs," Digital Media, Digital Sales, Digital Marketing, Digital Strategy",Mumbai,"Senior Management,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",10 - 15,10 - 25
